title,location,property_type,price,price_per_bedroom,bedrooms,bathrooms,price_category,added_date,updated_date,month_added,state
Newly Built Fully Detached 5 Bedroom Duplex,cement agege lagos,Detached,350000000,70000000,5,6,High,18/02/2026,18/02/2026,2026-02,Lagos
3 Plot Of Land,greenw park olokonla ajah lagos,land,50000000,0,0,0,Mid,28/01/2026,18/02/2026,2026-01,Lagos
6 Bedroom Duplex,ikoyi lagos,duplex,7500000000,1250000000,6,6,High,17/12/2025,18/02/2026,2025-12,Lagos
Newly Built 4 Bedroom Terrace Duplex,lekki phase 1 lekki lagos,Terraced,400000000,100000000,4,5,High,20/01/2026,18/02/2026,2026-01,Lagos
4 Bedroom Terrace Duplex + Bq,off fatai arobieke lekki phase 1 lekki lagos,Terraced,600000000,150000000,4,4,High,28/01/2026,18/02/2026,2026-01,Lagos
5 Bedroom Duplex,lekki phase 1 lekki lagos,duplex,1500000000,300000000,5,5,High,17/12/2025,18/02/2026,2025-12,Lagos
5 Bedroom Detached Smart Home,lekki phase 1 lekki lagos,Detached,1500000000,300000000,5,5,High,17/12/2025,18/02/2026,2025-12,Lagos
Magnificent Waterfront 6 Bedroom Fully Detached Duplex,old ikoyi ikoyi lagos,Detached,7500000000,1250000000,6,6,High,17/12/2025,18/02/2026,2025-12,Lagos
4 Bedroom Terraced Duplex With Bq,"off admiralty way, lekki phase 1 lekki lagos",Terraced,450000000,112500000,4,4,High,19/01/2026,18/02/2026,2026-01,Lagos
Prime Commercial Land For Sale In Ikeja Cbd,ikeja lagos,Commercial land,2100000000,0,0,0,High,18/02/2026,18/02/2026,2026-02,Lagos
Exquisite Decent 4 Bedroom Semi Detached Duplex,ologolo lekki lagos,Detached,260000000,65000000,4,4,High,16/01/2026,18/02/2026,2026-01,Lagos
4 Bedroom Semi Detached Duplex With Bq,ologolo lekki lagos,Detached,260000000,65000000,4,4,High,17/01/2026,18/02/2026,2026-01,Lagos
Newly Built 4 Bedroom Detached Duplex,banana island ikoyi lagos,Detached,2000000000,500000000,4,4,High,14/01/2026,18/02/2026,2026-01,Lagos
2 Bedroom Apartment,lekki lagos,Flat/Apartment,180000000,90000000,2,3,High,15/12/2025,18/02/2026,2025-12,Lagos
230 Sqm Open Space Office In Ikeja Gra,oduduwa way ikeja gra lagos mainland ikeja gra ikeja lagos,office/ office space,50000000,0,0,0,Mid,08/09/2025,18/02/2026,2025-09,Lagos
2 Bedroom Maisonette,oniru victoria island lagos,maisonette,450000000,225000000,2,2,High,14/12/2025,18/02/2026,2025-12,Lagos
2 Bedroom Apartment,admiralty road lekki lagos,Flat/Apartment,280000000,140000000,2,2,High,22/12/2025,18/02/2026,2025-12,Lagos
2 Bedroom Maisonette,freedom way lekki lagos,maisonette,200000000,100000000,2,2,High,14/12/2025,18/02/2026,2025-12,Lagos
5 Bedroom Duplex Lekki Phase 1,admiralty road lekki lagos,duplex,750000000,150000000,5,5,High,22/12/2025,18/02/2026,2025-12,Lagos
5 Bedroom Detached Duplex,lekki phase 1 lekki lagos,Detached,1200000000,240000000,5,5,High,22/12/2025,18/02/2026,2025-12,Lagos
Fully Serviced 5 Bedroom Detached House,osapa london lekki lagos,Detached,500000000,100000000,5,5,High,13/08/2025,18/02/2026,2025-08,Lagos
2 Bedroom Apartment,ikate lekki lagos,Flat/Apartment,130000000,65000000,2,3,High,15/12/2025,18/02/2026,2025-12,Lagos
4 Bedroom Terraced Duplex,old ikoyi ikoyi lagos,Terraced,1200000000,300000000,4,5,High,15/12/2025,18/02/2026,2025-12,Lagos
Massive 5 Bedroom Detached Duplex With Cinema,royal garden estate ajiwe ajah lagos,Detached,750000000,150000000,5,5,High,18/02/2026,,2026-02,Lagos
3 Bedroom Terrace Duplex,"lekki palm city estate , lekki scheme 2 ajah lagos",Terraced,90000000,30000000,3,3,High,13/11/2025,18/02/2026,2025-11,Lagos
Prime Land Measuring 2100sqm,"directly facing moshood abiola way, igamu, surulere lagos",land,950000000,0,0,0,High,28/01/2026,18/02/2026,2026-01,Lagos
Spacious 4 Bedroom Detached Duplex,fagba agege lagos,Detached,260000000,65000000,4,4,High,29/01/2026,18/02/2026,2026-01,Lagos
Luxury 3 Bedroom Apartment,phase ii osborne foreshore estate ikoyi lagos,Flat/Apartment,470000000,156666667,3,3,High,28/01/2026,18/02/2026,2026-01,Lagos
Spacious 5 Bedroom Detached Duplex,idado lekki lagos,Detached,270000000,54000000,5,5,High,28/01/2026,18/02/2026,2026-01,Lagos
